Da,A,Valuta,Prezzo,Data,Orario,Nota
Fondo Emergenza ,Poste italiane,EUR,750,2025-10-08,18:23,
Lavoro,Poste italiane,EUR,345,2025-10-08,18:23,
Lavoro,Poste italiane,EUR,1,2025-10-08,18:23,
Poste italiane,Trade Republic,EUR,1095,2025-10-09,13:47,
Lavoro,Portafoglio ,EUR,22,2025-10-14,13:21,
Lavoro,Portafoglio ,EUR,40,2025-11-02,05:30,
Scalable Capital ,Out Source,EUR,"69,98",2025-10-01,14:17,
Scalable Capital ,Out Source,EUR,"199,97",2025-10-01,14:18,
Scalable Capital ,Out Source,EUR,"78,05",2025-10-01,14:18,
Trade Republic,Scalable Capital ,EUR,595,2025-11-03,14:25,
Trade Republic,Revolut Bank,EUR,4,2025-11-03,14:25,
Lavoro,Portafoglio ,EUR,20,2025-11-04,18:13,
Trade Republic,Revolut Bank,EUR,204,2025-11-11,12:31,
Lavoro,Portafoglio ,EUR,20,2025-11-13,18:58,
Revolut Bank,Trade Republic,EUR,150,2025-11-15,18:11,
Portafoglio ,Lavoro,EUR,30,2025-11-16,11:23,
Scalable Capital ,Out Source,EUR,83,2025-12-04,17:39,
Scalable Capital ,Out Source,EUR,360,2025-12-04,17:39,
Scalable Capital ,Out Source,EUR,153,2025-12-04,17:41,
Out Source,Scalable Capital ,EUR,"338,18",2025-12-04,18:11,
Out Source,Scalable Capital ,EUR,"470,97",2025-12-04,18:12,
Portafoglio ,Lavoro,EUR,15,2025-12-08,13:05,
Scalable Capital ,Revolut Bank,EUR,810,2025-12-09,14:42,
Trade Republic,Revolut Bank,EUR,74,2025-12-09,14:43,
Portafoglio ,Lavoro,EUR,25,2025-12-11,16:39,
Lavoro,Portafoglio ,EUR,10,2025-12-18,11:20,
Portafoglio ,Lavoro,EUR,20,2025-12-18,12:59,
Poste italiane,Revolut Bank,EUR,100,2025-12-27,12:18,
