Libro Mastro,Categoria,Sottocategoria,Valuta,Prezzo,Conto,Registra,Data,Orario,Tag,Nota,Transazione
Libro Mastro Giornaliero,Shopping,,EUR,8,Revolut Bank,Coggix ,2025-12-30,11:35,,Una tantum app tracciamento soldi,Uscite
Libro Mastro Giornaliero,Shopping,Aliexpress,EUR,"57,41",Revolut Bank,Coggix ,2025-12-30,10:57,,Tastiera mad68,Uscite
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,200,Lavoro,Coggix ,2025-12-29,23:27,,Regalo Ale per i giorni che ho visto il campo,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-12-29,10:58,,,Entrate
Libro Mastro Giornaliero,Regali,Mamma,EUR,100,Poste italiane,Coggix ,2025-12-26,15:45,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-12-26,15:14,,,Entrate
Libro Mastro Giornaliero,Cibo & Bevande,Caffè,EUR,2,Portafoglio ,Coggix ,2025-12-25,22:45,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,50,Portafoglio ,Coggix ,2025-12-25,14:08,,,Entrate
Libro Mastro Giornaliero,Stipendio,,EUR,18,Portafoglio ,Coggix ,2025-12-24,11:43,,Bolletta presa Napoli due a zero,Entrate
Libro Mastro Giornaliero,Cibo & Bevande,Pranzo,EUR,"22,5",Portafoglio ,Coggix ,2025-12-24,10:38,,Vino e sfizi ,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-12-23,19:17,,,Entrate
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,20,Lavoro,Coggix ,2025-12-21,10:29,,Arbitro,Entrate
Libro Mastro Giornaliero,Shopping,Aliexpress,EUR,"103,82",Revolut Bank,Coggix ,2025-12-20,19:47,,RAM prima rata,Uscite
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,35,Lavoro,Coggix ,2025-12-20,19:11,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,6,Portafoglio ,Coggix ,2025-12-19,19:52,,,Entrate
Libro Mastro Giornaliero,Regali,Mamma,EUR,20,Portafoglio ,Coggix ,2025-12-18,12:58,,,Entrate
Libro Mastro Giornaliero,Cura,Capelli,EUR,18,Portafoglio ,Coggix ,2025-12-18,11:20,,,Uscite
Libro Mastro Giornaliero,Salute,Poolymago ,EUR,5,Portafoglio ,Coggix ,2025-12-17,20:50,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-12-17,19:50,,,Entrate
Libro Mastro Giornaliero,Salute,Poolymago ,EUR,5,Portafoglio ,Coggix ,2025-12-15,20:44,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-12-15,15:43,,,Entrate
Libro Mastro Giornaliero,Veicoli,Parcheggio ,EUR,3,Portafoglio ,Coggix ,2025-12-13,19:56,,,Uscite
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,38,Lavoro,Coggix ,2025-12-13,17:11,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-12-12,18:18,,,Entrate
Libro Mastro Giornaliero,Salute,Calcio ,EUR,5,Portafoglio ,Coggix ,2025-12-11,23:06,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,25,Portafoglio ,Coggix ,2025-12-11,16:39,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-12-09,20:04,,,Entrate
Libro Mastro Giornaliero,Shopping,Amazon,EUR,132,Revolut Bank,Coggix ,2025-12-09,14:43,,CASE + dissipatore ,Uscite
Libro Mastro Giornaliero,Shopping,Amazon,EUR,642,Lavoro,Coggix ,2025-12-08,13:05,,RTX 9070XT,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,15,Portafoglio ,Coggix ,2025-12-08,13:05,,,Entrate
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,15,Lavoro,Coggix ,2025-12-06,18:55,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-12-06,12:53,,,Entrate
Libro Mastro Giornaliero,Salute,Poolymago ,EUR,5,Portafoglio ,Coggix ,2025-12-03,17:43,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-12-03,16:11,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-12-02,00:14,,,Entrate
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,12,Lavoro,Coggix ,2025-11-29,12:13,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,50,Lavoro,Coggix ,2025-11-26,17:33,,,Entrate
Libro Mastro Giornaliero,Cibo & Bevande,,EUR,5,Portafoglio ,Coggix ,2025-11-25,19:31,,,Uscite
Libro Mastro Giornaliero,Cibo & Bevande,Spesa,EUR,5,Portafoglio ,Coggix ,2025-11-25,17:33,,,Uscite
Libro Mastro Giornaliero,Regali,Mamma,EUR,20,Portafoglio ,Coggix ,2025-11-24,11:22,,,Entrate
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,72,Lavoro,Coggix ,2025-11-22,16:39,,,Entrate
Libro Mastro Giornaliero,Cura,Capelli,EUR,18,Portafoglio ,Coggix ,2025-11-21,17:39,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-11-21,16:38,,,Entrate
Libro Mastro Giornaliero,Regali,Mamma,EUR,10,Portafoglio ,Coggix ,2025-11-21,16:38,,,Entrate
Libro Mastro Giornaliero,Shopping,Amazon,EUR,146,Trade Republic,Coggix ,2025-11-20,10:47,,SSD 2TB,Uscite
Libro Mastro Giornaliero,Shopping,Amazon,EUR,104,Trade Republic,Coggix ,2025-11-20,10:47,,MSI alimentatore 850w,Uscite
Libro Mastro Giornaliero,Shopping,Amazon,EUR,118,Trade Republic,Coggix ,2025-11-19,16:24,,MOBO B650,Uscite
Libro Mastro Giornaliero,Salute,Poolymago ,EUR,5,Portafoglio ,Coggix ,2025-11-17,23:39,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-11-17,20:39,,,Entrate
Libro Mastro Giornaliero,Shopping,Amazon,EUR,55,Lavoro,Coggix ,2025-11-16,12:52,,Scarpe top flex,Rimborso
